cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-04,CPU,0.0170,0.4088,12.26
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-04,RAM,0.0023,0.0558,1.67
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-04,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-05,CPU,0.0178,0.4272,13.24
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-05,RAM,0.0024,0.0582,1.81
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-05,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-06,CPU,0.0172,0.4133,12.40
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-06,RAM,0.0023,0.0564,1.69
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-06,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-07,CPU,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-07,RAM,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-07,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-08,CPU,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-08,RAM,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-08,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-09,CPU,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-09,RAM,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-09,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-10,CPU,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-10,RAM,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-10,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-11,CPU,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-11,RAM,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-11,Storage,0.0000,0.0000,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-12,CPU,0.0101,0.2415,7.49
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-12,RAM,0.0014,0.0329,1.02
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-12,Storage,0.0001,0.0033,0.10
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-01,CPU,0.0148,0.3561,11.04
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-01,RAM,0.0020,0.0482,1.49
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-01,Storage,0.0001,0.0033,0.10
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-02,CPU,0.0081,0.1941,5.44
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-02,RAM,0.0009,0.0228,0.64
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-02,Storage,0.0001,0.0033,0.09
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-03,CPU,0.0090,0.2171,6.73
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-03,RAM,0.0012,0.0282,0.87
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-03,Storage,0.0001,0.0033,0.10
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-04,CPU,0.0207,0.4968,14.90
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-04,RAM,0.0029,0.0690,2.07
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-04,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-05,CPU,0.0133,0.3193,9.90
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-05,RAM,0.0018,0.0421,1.31
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-05,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-06,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-06,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-06,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-08,CPU,0.0000,0.0000,0.00
