clusterid,clustername,connected_date,month,cpu_provisioned,cpu_requested,cpu_used,cpu_price,ram_provisioned,ram_requested,ram_used,ram_price,storage_provisioned,storage_requested,avg_cpu_provisioned,avg_cpu_requested,avg_ram_provisioned,avg_ram_requested,avg_storage_provisioned,avg_storage_requested,savings_per_month_cpu,savings_per_month_ram,savings_per_month_storage,total_savings_per_month
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-04,535.60,462.82,19.53,12.26,2135.29,614.88,242.55,1.67,0.00,0.00,17.85,15.43,71.18,20.50,0.00,0.00,0.00,0.00,0.00,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-05,643.78,499.73,21.53,13.24,2575.17,619.71,268.38,1.81,0.00,0.00,20.77,16.12,83.07,19.99,0.00,0.00,-15.77,-2.66,0.00,-18.43
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-06,555.07,437.70,20.43,12.40,2220.30,539.27,233.52,1.69,0.00,0.00,18.50,14.59,74.01,17.98,0.00,0.00,-1.97,-0.32,0.00,-2.30
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2024-12,23.99,20.71,0.70,7.49,95.98,28.72,9.13,1.02,2.00,0.00,0.77,0.67,3.10,0.93,0.06,0.00,3.19,0.60,-0.00,3.80
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-01,528.21,434.22,14.56,11.04,2121.59,608.37,198.12,1.49,40.00,0.00,17.04,14.01,68.44,19.62,1.29,0.00,17.16,3.49,-0.00,20.65
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-02,216.71,140.79,8.34,5.44,845.64,359.89,108.55,0.64,54.00,0.00,7.74,5.03,30.20,12.85,1.93,0.00,34.33,13.31,-0.00,47.64
864def1a-eb2e-4d94-94a0-d671cc77799d,eks-dev-bcl-nv,2024-04-15,2025-03,295.62,188.28,11.11,6.73,720.30,450.58,164.24,0.87,60.00,0.00,9.54,6.07,23.24,14.53,1.94,0.00,33.61,11.63,-0.00,45.24
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-04,149.91,120.73,4.40,14.90,570.12,248.60,37.36,2.07,0.00,0.00,5.00,4.02,19.00,8.29,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-05,55.97,39.64,0.86,9.90,190.95,79.36,8.26,1.31,0.00,0.00,1.81,1.28,6.16,2.56,0.00,0.00,6.40,1.95,0.00,8.35
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-12,117.24,92.77,2.03,10.89,466.51,155.60,15.85,1.49,22.00,0.00,3.78,2.99,15.05,5.02,0.71,0.00,12.02,2.92,-0.00,14.94
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-01,340.21,264.26,5.52,10.58,1314.13,441.49,41.49,1.44,56.00,0.00,10.97,8.52,42.39,14.24,1.81,0.00,36.86,9.02,-0.00,45.88
