ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
79aea479-786a-4643-ad73-51647e9c02fc,it-dev-chita,GKE,agea-prt-front,us-east1,Yes,Yes,12,Yes,66.7%,33.3%,0.0%,Yes,2023-12-28,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 0 0 * * tue, Next: 2025-04-15T03:00:00Z",85.00%,1.29.13-gke.1038000,See API,No,100.0%,0.0%,0.0%
9f83e287-a297-47f6-b8b3-1694a34843fe,ellitoral-prod,GKE,agea-devops-ellitoral-prod2,us-east1,Yes,Yes,22,Yes,63.6%,36.4%,0.0%,Yes,2024-07-18,Production,Installed (Basic),"Yes: Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 0 0 * * tue, Next: 2025-04-15T03:00:00Z; Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 30 8 */1 * *, Next: 2025-04-15T11:30:00Z",40.16%,1.30.9-gke.1127000,See API,No,57.1%,42.9%,0.0%
338f61d1-d258-4d9e-9d19-cfcdbbe33315,elle-prod-v1,GKE,agea-devops-elle-prod1,us-east1,Yes,Yes,24,Yes,83.3%,16.7%,0.0%,No,2023-11-01,Production,Installed (Basic),"Yes: Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 0 0 * * tue, Next: 2025-04-15T03:00:00Z; Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 30 8 */1 * *, Next: 2025-04-15T11:30:00Z",57.14%,1.29.13-gke.1038000,See API,No,100.0%,0.0%,0.0%
4f8d3119-e586-4cf8-844b-f4c369f010d6,it-devops-02,GKE,agea-gke-prod,us-east1,Yes,Yes,14,Yes,100.0%,0.0%,0.0%,Yes,2023-08-09,unknown,Installed (Basic),No,79.07%,1.31.6-gke.1020000,See API,No,100.0%,0.0%,0.0%
53d298fe-ffe2-42e0-9314-5008dcaee4dd,llm-recetas-sbx,GKE,agea-llm-recetas-sbx,us-east1,Yes,Yes,14,Yes,100.0%,0.0%,0.0%,Yes,2024-09-10,unknown,Installed (Basic),No,18.18%,1.30.9-gke.1127000,See API,No,57.1%,42.9%,0.0%
5d813c38-82e3-4cf5-a51d-73bc6e99c424,lavoz,GKE,agea-lavoz,us-east1,Yes,Yes,26,No,69.2%,30.8%,0.0%,No,2024-10-23,unknown,Installed (Basic),"Yes: Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 0 0 * * tue, Next: 2025-04-15T03:00:00Z; Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 30 8 */1 * *, Next: 2025-04-15T11:30:00Z",0.00%,1.30.9-gke.1127000,See API,No,62.5%,37.5%,0.0%
d4268b4c-5b4d-494d-be88-65fd71f4c901,it-dev,GKE,agea-it-dev,us-east1,Yes,Yes,52,Yes,92.3%,7.7%,0.0%,Yes,2024-08-08,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 0 0 * * tue, Next: 2025-04-15T03:00:00Z; Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 30 8 */1 * *, Next: 2025-04-15T11:30:00Z",77.11%,1.30.9-gke.1127000,See API,No,100.0%,0.0%,0.0%
f21e8dd1-24ba-44c3-8a94-8d30e17cc317,it-devops-sa-dev,GKE,agea-gke-dev,us-east1,Yes,Yes,4,No,100.0%,0.0%,0.0%,No,2024-09-03,Development,Installed (Basic),No,0.00%,1.30.9-gke.1127000,See API,No,0.0%,100.0%,0.0%
f4fba561-2394-4724-8e47-7805253659bc,ole,GKE,agea-ole,us-east1,Yes,Yes,24,Yes,50.0%,50.0%,0.0%,No,2024-09-23,unknown,Installed (Basic),"Yes: Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 0 0 * * tue, Next: 2025-04-15T03:00:00Z; Cron: CRON_TZ=America/Argentina/Buenos_Aires 0 30 8 */1 * *, Next: 2025-04-15T11:30:00Z",38.57%,1.30.9-gke.1127000,See API,No,100.0%,0.0%,0.0%
0568ab94-4f1d-4ec2-8531-3b6912ce97db,agea-gke-datalake-dev,GKE,agea-datalake-dev-410014,us-east1,Yes,Yes,14,No,50.0%,50.0%,0.0%,No,2024-09-25,Development,Installed (Basic),No,0.00%,1.30.9-gke.1127000,See API,No,60.0%,40.0%,0.0%
