clusterid,clustername,connected_date,month,cpu_provisioned,cpu_requested,cpu_used,cpu_price,ram_provisioned,ram_requested,ram_used,ram_price,storage_provisioned,storage_requested,avg_cpu_provisioned,avg_cpu_requested,avg_ram_provisioned,avg_ram_requested,avg_storage_provisioned,avg_storage_requested,savings_per_month_cpu,savings_per_month_ram,savings_per_month_storage,total_savings_per_month
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-06,5816.79,3075.66,817.56,16.22,12678.08,7384.11,4034.11,2.17,151526.34,0.00,193.89,102.52,422.60,246.14,5050.88,0.00,0.00,0.00,0.00,0.00
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-07,6903.86,4271.92,1062.91,16.73,12590.63,8058.19,4844.17,2.23,337560.16,0.00,222.71,137.80,406.15,259.94,10889.04,0.00,-69.91,-15.12,-0.00,-85.03
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-08,5524.56,2305.78,1059.59,15.16,10516.14,5535.85,4549.73,1.91,325387.28,0.00,178.21,74.38,339.23,178.58,10496.36,0.00,78.81,45.55,-0.00,124.36
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-09,3933.24,2725.05,1106.13,11.61,10137.65,6599.67,5504.12,1.45,397623.57,0.00,131.11,90.83,337.92,219.99,13254.12,0.00,418.70,158.87,-0.00,577.57
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-10,4670.12,3099.50,1173.24,11.47,11147.87,6655.65,5705.27,1.40,416617.59,0.00,150.65,99.98,359.61,214.70,13439.28,0.00,475.72,164.82,-0.00,640.54
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-11,4600.09,3036.28,1158.38,10.80,10493.99,6692.12,5689.42,1.43,456777.94,0.00,153.34,101.21,349.80,223.07,15225.93,0.00,549.23,164.63,-0.00,713.85
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-12,6475.23,4105.87,1295.78,11.13,13629.06,7772.52,6566.89,1.50,673756.19,0.00,208.88,132.45,439.65,250.73,21734.07,0.00,674.92,167.66,-0.00,842.59
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-01,10266.47,5176.76,1489.54,12.24,18484.81,8928.23,7407.35,1.57,993112.13,0.00,331.18,166.99,596.28,288.01,32035.88,0.00,664.34,171.81,-0.00,836.15
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-02,8712.56,5855.47,1324.56,10.71,22314.89,9471.21,7055.73,1.11,804883.99,0.00,311.16,209.12,796.96,338.26,28745.86,0.00,1153.82,359.65,0.00,1513.47
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-03,8494.22,7094.62,1299.52,10.12,24368.23,12416.57,8421.38,0.98,804577.72,0.00,274.01,228.86,786.07,400.53,25954.12,0.00,1396.42,474.65,-0.00,1871.07
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-09,38.00,25.02,0.97,4.96,141.07,98.69,12.16,0.67,6865.76,0.00,1.27,0.83,4.70,3.29,228.86,0.00,0.00,0.00,0.00,0.00
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-10,1992.42,1398.89,200.60,7.61,3741.79,1963.45,932.58,0.90,370957.39,5.00,64.27,45.13,120.70,63.34,11966.37,0.16,-119.43,-14.65,-0.00,-134.08
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-11,9135.36,6044.60,504.75,4.53,11274.89,7235.32,3301.61,0.62,1160793.29,0.00,304.51,201.49,375.83,241.18,38693.11,0.00,86.17,10.59,0.00,96.76
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-12,9592.96,8048.95,670.29,6.72,13545.04,9722.46,4155.43,0.95,637086.63,0.00,309.45,259.64,436.94,313.63,20551.18,0.00,-455.57,-89.35,-0.00,-544.92
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-01,9495.32,7906.02,706.20,6.74,13513.96,9869.51,4297.97,0.96,624921.24,0.00,306.30,255.03,435.93,318.37,20158.75,0.00,-454.50,-92.84,-0.00,-547.34
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-02,8726.34,7143.17,646.80,6.11,12631.25,9225.44,3925.18,0.86,570581.32,0.00,311.65,255.11,451.12,329.48,20377.90,0.00,-293.45,-62.60,0.00,-356.05
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-03,9598.49,7964.54,698.41,5.93,18611.93,10786.74,4217.87,0.69,772726.91,0.00,309.63,256.92,600.38,347.96,24926.67,0.00,-249.32,-8.53,-0.00,-257.85
