cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-06,CPU,0.0225,0.5408,16.22
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-06,RAM,0.0030,0.0723,2.17
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-06,Storage,0.0001,0.0031,0.09
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-07,CPU,0.0225,0.5397,16.73
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-07,RAM,0.0030,0.0719,2.23
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-07,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-08,CPU,0.0204,0.4891,15.16
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-08,RAM,0.0026,0.0618,1.91
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-08,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-09,CPU,0.0161,0.3871,11.61
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-09,RAM,0.0020,0.0482,1.45
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-09,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-10,CPU,0.0154,0.3698,11.47
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-10,RAM,0.0019,0.0452,1.40
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-10,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-11,CPU,0.0150,0.3599,10.80
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-11,RAM,0.0020,0.0477,1.43
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-11,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-12,CPU,0.0150,0.3589,11.13
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-12,RAM,0.0020,0.0484,1.50
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2024-12,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-01,CPU,0.0165,0.3950,12.24
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-01,RAM,0.0021,0.0507,1.57
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-01,Storage,0.0001,0.0033,0.10
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-02,CPU,0.0159,0.3823,10.71
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-02,RAM,0.0016,0.0395,1.11
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-02,Storage,0.0001,0.0033,0.09
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-03,CPU,0.0136,0.3265,10.12
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-03,RAM,0.0013,0.0318,0.98
5fe0495b-6666-4d7c-b583-ce753646868a,production-1,2024-06-13,2025-03,Storage,0.0001,0.0033,0.10
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-09,CPU,0.0069,0.1654,4.96
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-09,RAM,0.0009,0.0223,0.67
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-09,Storage,0.0001,0.0033,0.10
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-10,CPU,0.0102,0.2454,7.61
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-10,RAM,0.0012,0.0290,0.90
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-10,Storage,0.0001,0.0033,0.10
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-11,CPU,0.0063,0.1512,4.53
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-11,RAM,0.0009,0.0208,0.62
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-11,Storage,0.0001,0.0033,0.10
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-12,CPU,0.0090,0.2167,6.72
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-12,RAM,0.0013,0.0307,0.95
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2024-12,Storage,0.0001,0.0033,0.10
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-01,CPU,0.0091,0.2176,6.74
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-01,RAM,0.0013,0.0310,0.96
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-01,Storage,0.0001,0.0033,0.10
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-02,CPU,0.0091,0.2183,6.11
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-02,RAM,0.0013,0.0306,0.86
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-02,Storage,0.0001,0.0033,0.09
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-03,CPU,0.0080,0.1914,5.93
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-03,RAM,0.0009,0.0223,0.69
36ebc7ea-2efc-495d-bc1e-8f9431bbcec1,staging,2024-09-23,2025-03,Storage,0.0001,0.0033,0.10
