ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
f7604e67-1c23-4992-b3c2-bfa1ae1f2e00,ent-dev-incetivos-gke-01,GKE,ent-dev-incentivos,us-east1,Yes,No,8,No,100.0%,0.0%,0.0%,No,,Development,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
9e254e24-f02e-4e82-8e84-f0851dccae70,ent-dev-cesic-gke-01,GKE,ent-dev-cesic,us-east1,Yes,No,8,No,100.0%,0.0%,0.0%,No,,Development,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
07e31c38-803f-442c-8534-9466c95dcb59,sha-cortex-gi-cluster,GKE,sha-dev-cortx-golde-img-id,us-east1,Yes,No,2,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
88832b06-59f6-43ff-b819-9d7b7929b610,controller-imperva,GKE,sha-sec-microcontap,us-east1,Yes,No,8,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
9806c413-4821-4492-8aa6-78f7e4c02d98,ent-qas-spei-rule-cluster,GKE,ent-qas-spei-rule-id,us-east1,Yes,No,32,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
10827f58-b4d2-4d26-a514-5319e9c17cdc,ent-dev-endpoints-cluster,GKE,ent-dev-endpoints,us-east1,Yes,No,4,No,100.0%,0.0%,0.0%,No,,Development,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
1cb9e2d6-e52f-4c87-bec1-d358bbbf5218,com-dev-productconfiguration-gke-01,GKE,com-dev-productsconf-id,us-east1,Yes,No,4,No,100.0%,0.0%,0.0%,No,,Development,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
5af5a6ce-d913-448d-8aef-cbdfc3e5fbe6,ent-dev-service-proxies-sap-po-gke-01,GKE,ent-dev-service-proxies,us-east1,Yes,No,14,No,100.0%,0.0%,0.0%,No,,Development,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
b6029c46-7474-43e9-ab64-f9f1462fb9de,ent-prd-cesic-gke-01,GKE,ent-prd-cesic-id-04,us-east1,Yes,No,16,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
252c86c8-d49e-49e0-82cf-c11553b9ca4a,ent-qas-eir-gke,GKE,ent-qas-eir,us-east1,Yes,No,12,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
