ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
cb66e86a-65ac-4bb8-a206-d53f59bda0fe,eks-qa-front-nv,EKS,480682203842,us-east-1,Yes,Yes,8,Yes,0.0%,100.0%,0.0%,Yes,2024-11-28,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",96.23%,1.26,See API,No,100.0%,0.0%,0.0%
dd9e65bf-f62c-4234-8807-fe20cd00aa64,eks-prd-bff-nv,EKS,055342247576,us-east-1,Yes,Yes,16,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,1.26,See API,No,0.0%,100.0%,0.0%
1b2eae81-68d3-4f31-895e-0eb8606b6ef1,eks-prd-dbs-fnt-nv,EKS,074033797397,us-east-1,Yes,Yes,20,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,1.26,See API,No,0.0%,100.0%,0.0%
8011ec67-0087-4379-8cc2-bcfe7d073151,eks-prd-front-nv,EKS,055342247576,us-east-1,Yes,Yes,12,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,1.26,See API,No,0.0%,100.0%,0.0%
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,EKS,975049986658,us-east-1,Yes,Yes,12,Yes,0.0%,100.0%,0.0%,Yes,2025-02-03,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",96.15%,1.28,See API,No,100.0%,0.0%,0.0%
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,EKS,660372168275,us-east-1,Yes,Yes,8,Yes,0.0%,100.0%,0.0%,Yes,2024-04-17,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",96.00%,1.26,See API,No,100.0%,0.0%,0.0%
e5ea402e-c79f-41c7-b5fb-29f95fd8f8d7,eks-prd-bcl-nv,EKS,055342247576,us-east-1,Yes,Yes,40,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,1.26,See API,No,0.0%,100.0%,0.0%
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,EKS,851725243336,us-east-1,Yes,Yes,10,Yes,0.0%,100.0%,0.0%,Yes,2025-01-31,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",96.30%,1.28,See API,No,100.0%,0.0%,0.0%
2adbfe1b-3d39-4c31-8b49-4b388453ef25,eks-qa-front-nv,EKS,970733212581,us-east-1,Yes,Yes,10,Yes,0.0%,100.0%,0.0%,Yes,2025-02-26,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",96.00%,1.26,See API,No,100.0%,0.0%,0.0%
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,EKS,477056777525,us-east-1,Yes,Yes,2,Yes,0.0%,100.0%,0.0%,Yes,2024-11-21,Development,Uninstalled,"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",96.23%,1.31,See API,No,100.0%,0.0%,0.0%
0e46a5dd-0030-44fb-9adb-4a39a2f64497,eks-qa-bff-nv,EKS,970733212581,us-east-1,Yes,Yes,16,Yes,0.0%,100.0%,0.0%,Yes,2025-02-26,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",97.94%,1.26,See API,No,100.0%,0.0%,0.0%
1a2c667b-8211-418b-9d18-92c73fe08b03,eks-prd-dbs-bff-nv,EKS,074033797397,us-east-1,Yes,Yes,20,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,1.26,See API,No,0.0%,100.0%,0.0%
61675318-4b52-414f-b371-f696e3843975,eks-dev-front-nv,EKS,974125096498,us-east-1,Yes,Yes,2,Yes,0.0%,100.0%,0.0%,Yes,2024-12-23,Development,Uninstalled,"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",97.22%,1.26,See API,No,100.0%,0.0%,0.0%
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,EKS,480682203842,us-east-1,Yes,Yes,14,Yes,0.0%,100.0%,0.0%,Yes,2024-11-28,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Santiago 0 20 8 */1 * *, Next: 2025-04-15T12:20:00Z",95.52%,1.26,See API,No,100.0%,0.0%,0.0%
