ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
0135c265-1605-4742-a7c7-bd1cb25a1e42,aks-hub-dev-001,AKS,MC_rg-hub-dev-001_aks-hub-dev-001_eastus,eastus,Yes,Yes,8,Yes,100.0%,0.0%,0.0%,Yes,2024-10-30,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",82.76%,1.31.6,See API,No,0.0%,100.0%,0.0%
7199a8d7-f54f-4ab6-9c30-ba5b125e789b,aks-elk-dev-001,AKS,MC_rg-elk-dev-001_aks-elk-dev-001_eastus,eastus,Yes,Yes,6,Yes,20.0%,80.0%,0.0%,Yes,2024-11-11,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",66.67%,1.31.6,See API,No,66.7%,33.3%,0.0%
a4b822aa-135d-430d-8586-15f824aaf721,aks-hbk-qa-001,AKS,MC_rg-hbk-qa-003_aks-hbk-qa-001_eastus,eastus,Yes,Yes,24,Yes,100.0%,0.0%,0.0%,Yes,,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",92.31%,1.31.6,See API,No,0.0%,100.0%,0.0%
e0031cb3-56b5-435b-99fa-0cdaa7cc96f9,aks-swagger-prod-001,AKS,MC_rg-swagger-prod-001_aks-swagger-prod-001_eastus,eastus,Yes,No,8,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
0dd0a8c4-a2a1-4759-9c13-2c59d1e4805c,aks-hub-qa-001,AKS,MC_rg-hub-qa-001_aks-hub-qa-001_eastus,eastus,Yes,Yes,12,Yes,100.0%,0.0%,0.0%,Yes,2024-10-24,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",65.22%,1.31.6,See API,No,0.0%,100.0%,0.0%
f7ce4523-1b64-4e75-80cd-b62c3b83b777,aks-boveda-prod-001,AKS,MC_rg-boveda-prod-001_aks-boveda-prod-001_eastus,eastus,Yes,No,24,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
14e3ea1d-80d0-4fe3-b0be-0cc746cd0a80,aks-mbk-qa-001,AKS,MC_rg-mbk-qa-002_aks-mbk-qa-001_eastus,eastus,Yes,Yes,56,Yes,100.0%,0.0%,0.0%,Yes,2024-10-24,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",78.72%,1.31.6,See API,No,0.0%,100.0%,0.0%
35e06a9f-2bf6-4e52-bad4-530839113459,aks-service-desa,AKS,MC_RG-AKSCLUSTER-DESA_AKS-SERVICE-DESA_EASTUS,eastus,Yes,No,4,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,1.21.2,See API,No,0.0%,100.0%,0.0%
5693a528-7721-4dd6-b572-82cd812a52c0,aks-bff-dev-001,AKS,MC_rg-bff-dev-002_aks-bff-dev-001_eastus,eastus,Yes,Yes,10,Yes,60.0%,40.0%,0.0%,Yes,2024-11-12,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",93.75%,1.31.6,See API,No,25.0%,75.0%,0.0%
662499af-d9e8-49e0-86f4-c0067aee4331,aks-mstransversal-prod-001,AKS,MC_rg-mstransversal-prod-001_aks-mstransversal-prod-001_eastus,eastus,Yes,No,32,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
b9e122e7-7b8a-451b-88e1-ea490b7f1f68,aks-service-mensajeria-dev-002,AKS,MC_rg-mensajeria-dev-002_aks-service-mensajeria-dev-002_eastus,eastus,Yes,Yes,6,Yes,20.0%,80.0%,0.0%,Yes,2024-11-11,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",91.30%,1.31.6,See API,No,66.7%,33.3%,0.0%
f08d7c72-1c1a-422d-ae40-02ce7535a276,aks-service-biometria-qa-001,AKS,MC_rg-biometria-qa-001_aks-service-biometria-qa-001_eastus,eastus,Yes,Yes,32,Yes,100.0%,0.0%,0.0%,Yes,2024-10-24,Staging,Installed (Advanced),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",91.67%,1.31.6,See API,No,0.0%,100.0%,0.0%
60be2540-7a0a-4e02-adbc-7b173bd0e2b7,aks-mbk-prod-001,AKS,MC_rg-mbk-prod-002_aks-mbk-prod-001_eastus,eastus,Yes,No,40,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
7a429008-700f-44e2-8244-6388514d7fac,aks-hbk-prod-001,AKS,MC_rg-hbk-prod-003_aks-hbk-prod-001_eastus,eastus,Yes,No,24,No,100.0%,0.0%,0.0%,No,,Production,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
84a7086c-1511-4c71-9f95-06f8f2d7f5aa,aks-service-boveda-noprod-001,AKS,MC_rg-boveda-noprod-001_aks-service-boveda-noprod-001_eastus,eastus,Yes,Yes,8,Yes,20.0%,80.0%,0.0%,No,2024-10-23,unknown,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",90.48%,1.29.7,See API,No,66.7%,33.3%,0.0%
aa0bc879-6818-443a-971c-8109e76ce29f,aks-service-qa-001,AKS,MC_rg-aks-qa-001_aks-service-qa-001_eastus,eastus,Yes,Yes,6,Yes,100.0%,0.0%,0.0%,No,2024-10-24,Staging,Installed (Basic),"Yes: Cron: CRON_TZ=America/Lima 0 0 22 */1 * *, Next: 2025-04-15T03:00:00Z",95.35%,1.31.6,See API,No,0.0%,100.0%,0.0%
