ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
c8a65638-b8d6-43d6-a039-9d26ed7eb026,prod-cluster,GKE,prod-us-central1-582378,us-central1,Yes,Yes,3170,Yes,28.2%,71.8%,0.0%,Yes,2023-08-09,Production,Uninstalled,No,1.19%,1.30.9-gke.1127000,See API,No,95.2%,4.8%,0.0%
f2e0f318-a03c-4d61-8017-8399bcba0ab6,infra-cluster,GKE,integration-us-central1-687416,us-central1,Yes,No,44,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
22d292f4-6ddf-4b09-b5c1-ccff37fd0639,device-drivers-us-cluster,GKE,prod-us-central1-582378,us-central1,Yes,Yes,220,Yes,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,99.95%,1.30.9-gke.1127000,See API,No,0.0%,100.0%,0.0%
4b6d781f-1b6c-40f1-bdc6-47df0230119d,sandbox-cluster,GKE,sandbox-us-west1-850355,us-west1,Yes,Yes,626,Yes,26.3%,73.7%,0.0%,Yes,2023-08-09,unknown,Uninstalled,"Yes: Cron: 0 1 * * 1, Next: 2025-04-21T01:00:00Z",64.69%,1.30.9-gke.1127000,See API,No,95.4%,4.6%,0.0%
560438bc-de9f-4400-8732-27f4c7793676,devicedriver-cluster,GKE,prod-europe-west1-503489,europe-west1,Yes,No,524,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
79497851-97f4-4085-9fc5-eb8098211d8a,devicedriver-cluster,GKE,prod-us-central1-582378,us-central1,Yes,No,380,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
c6c9cddc-b206-4503-8347-aaea690b6e63,infra-cluster,GKE,prod-us-central1-582378,us-central1,Yes,No,208,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
d4a14ac0-c1e1-457e-bc2b-cde7dcdc76f3,infra-cluster,GKE,sandbox-us-west1-850355,us-west1,Yes,No,44,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
dbe4f695-56ee-4edf-bf16-93ed2e51f83c,infra-cluster,GKE,staging-us-central1-040475,us-central1,Yes,No,44,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
e50d968a-4fee-4d17-878b-346ea2632790,infra-cluster,GKE,prod-europe-west1-503489,europe-west1,Yes,No,144,No,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,0.00%,Unknown,See API,No,0.0%,100.0%,0.0%
4a6689f2-9116-424c-a4d2-d07adedbcea7,prod-cluster,GKE,prod-europe-west1-503489,europe-west1,Yes,Yes,1740,Yes,20.9%,79.1%,0.0%,Yes,2023-08-09,Production,Uninstalled,No,1.18%,1.30.9-gke.1127000,See API,No,96.0%,4.0%,0.0%
5207a184-acea-4f2b-86b1-6da5f1fe32d4,device-drivers-eu-cluster,GKE,prod-europe-west1-503489,europe-west1,Yes,Yes,340,Yes,100.0%,0.0%,0.0%,No,,unknown,Uninstalled,No,99.96%,1.30.9-gke.1127000,See API,No,0.0%,100.0%,0.0%
5f7cdb5b-d99d-4a06-9d23-3a69a9285d11,integration-cluster,GKE,integration-us-central1-687416,us-central1,Yes,Yes,370,Yes,4.5%,95.5%,0.0%,Yes,2023-08-09,unknown,Uninstalled,"Yes: Cron: 0 1 * * 1, Next: 2025-04-21T01:00:00Z",69.70%,1.30.9-gke.1127000,See API,No,95.9%,4.1%,0.0%
6ddb56f5-04ac-451e-b6d6-7f849b06d361,staging-cluster,GKE,staging-us-central1-040475,us-central1,Yes,Yes,336,Yes,8.1%,91.9%,0.0%,Yes,2023-08-09,Staging,Uninstalled,"Yes: Cron: 0 1 * * 1, Next: 2025-04-21T01:00:00Z",70.64%,1.30.9-gke.1127000,See API,No,95.1%,4.9%,0.0%
