clusterid,clustername,connected_date,month,cpu_provisioned,cpu_requested,cpu_used,cpu_price,ram_provisioned,ram_requested,ram_used,ram_price,storage_provisioned,storage_requested,avg_cpu_provisioned,avg_cpu_requested,avg_ram_provisioned,avg_ram_requested,avg_storage_provisioned,avg_storage_requested,savings_per_month_cpu,savings_per_month_ram,savings_per_month_storage,total_savings_per_month
d864dc53-5178-4d26-84b1-f31dae9658c1,sky-microservicios-qa,2024-10-21,2024-10,1684.85,847.46,248.19,26.49,6318.23,3547.44,1885.02,3.31,122093.56,1226.60,54.35,27.34,203.81,114.43,3938.50,39.57,0.00,0.00,0.00,0.00
d864dc53-5178-4d26-84b1-f31dae9658c1,sky-microservicios-qa,2024-10-21,2024-11,2220.62,918.95,197.17,15.36,8424.66,3452.70,1769.75,1.93,129069.15,0.00,74.02,30.63,280.82,115.09,4302.30,0.00,340.96,159.55,0.00,500.52
d864dc53-5178-4d26-84b1-f31dae9658c1,sky-microservicios-qa,2024-10-21,2024-12,2616.45,766.78,125.76,5.69,10170.49,2834.42,1548.60,0.76,120477.24,0.00,84.40,24.73,328.08,91.43,3886.36,0.00,514.48,233.87,0.00,748.36
d864dc53-5178-4d26-84b1-f31dae9658c1,sky-microservicios-qa,2024-10-21,2025-01,1884.05,748.77,177.26,5.65,7296.23,3212.91,2175.69,0.75,85961.81,0.00,60.78,24.15,235.36,103.64,2772.96,0.00,503.48,266.11,0.00,769.59
d864dc53-5178-4d26-84b1-f31dae9658c1,sky-microservicios-qa,2024-10-21,2025-02,1358.74,1012.21,151.30,4.53,4981.89,2789.34,1800.32,0.59,61488.68,0.00,48.53,36.15,177.92,99.62,2196.02,0.00,793.77,271.00,0.00,1064.77
d864dc53-5178-4d26-84b1-f31dae9658c1,sky-microservicios-qa,2024-10-21,2025-03,1638.11,1292.03,133.23,5.12,6105.70,3111.93,2100.79,0.69,77199.08,0.00,52.84,41.68,196.96,100.38,2490.29,0.00,890.85,263.79,0.00,1154.64
78d19914-1575-47c6-be84-29ba015d0a98,sky-microservicios-stage,2024-11-13,2024-11,1189.67,471.16,82.84,12.99,4331.52,2150.57,1161.35,1.69,66611.74,900.00,39.66,15.71,144.38,71.69,2220.39,30.00,0.00,0.00,0.00,0.00
78d19914-1575-47c6-be84-29ba015d0a98,sky-microservicios-stage,2024-11-13,2024-12,1363.19,402.08,55.49,5.56,4570.03,1990.04,1126.30,0.76,64242.83,0.00,43.97,12.97,147.42,64.19,2072.35,0.00,96.41,59.67,-0.00,156.09
78d19914-1575-47c6-be84-29ba015d0a98,sky-microservicios-stage,2024-11-13,2025-01,1124.60,444.04,78.40,5.47,4013.80,1959.06,1099.89,0.74,52998.82,0.00,36.28,14.32,129.48,63.20,1709.64,0.00,107.72,59.83,-0.00,167.55
78d19914-1575-47c6-be84-29ba015d0a98,sky-microservicios-stage,2024-11-13,2025-02,888.86,442.82,94.46,4.37,3194.45,1697.28,983.54,0.58,41889.36,0.00,31.74,15.81,114.09,60.62,1496.05,0.00,136.29,66.90,0.00,203.19
